month,growmonth,parent.pop,elevation.group,elev_m,PckSum,Lat,Long,year,cwd,pck,ppt,tmn,tmx,AvgFirstMonth,AvgLastMonth
3,7,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1989,21.07,0,416.74,5.62,15.33,2,12
4,8,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1989,60.78,0,38.33,8.25,22.37,2,12
5,9,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1989,51.64,0,9.95,9.36,24.01,2,12
6,10,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1989,53.55,0,13.06,13.09,28.43,2,12
7,11,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1989,71.83,0,0.01,15.93,33.03,2,12
8,12,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1989,61.51,0,11.24,14.57,30.85,2,12
11,3,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1989,33.73,0,62.24,4.26,19.22,2,10
12,4,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1989,23.25,0,0.04,1.27,13.56,2,10
1,5,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1989,22.62,0,36.36,0.39,12.21,2,10
2,6,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1989,31.19,0,59.62,1.49,12.99,2,10
3,7,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1989,31.86,0,192.38,6.1,16.71,2,10
4,8,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1989,70.89,0,27.19,8.33,22.83,2,10
5,9,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1989,71.9,0,7.91,8.99,25.05,2,10
6,10,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1989,99.45,0,6.28,12.43,30.19,2,10
11,3,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1989,26.05,0,62.61,5.29,19.55,2,10
12,4,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1989,17.51,0,0.08,2.11,14.6,2,10
1,5,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1989,20.08,0,70.58,1.05,12.53,2,10
2,6,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1989,19.76,0,69.82,1.43,12.81,2,10
3,7,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1989,0,0,392.25,5.85,15.81,2,10
4,8,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1989,35.04,0,47.65,8.82,23.34,2,10
5,9,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1989,89.27,0,13.39,9.6,24.98,2,10
6,10,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1989,109.43,0,12.1,13.73,29.24,2,10
11,3,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1990,46.36,0,23.36,3.73,18.54,2,10
12,4,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1990,28.71,0,28.82,-1.53,11.26,2,10
1,5,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1990,29.63,0,88.22,1.21,13.36,2,10
2,6,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1990,39.35,0,75.66,0.69,12.54,2,10
3,7,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1990,58.71,0,33.5,4.04,17.78,2,10
4,8,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1990,75.72,0,37.6,8.35,22.65,2,10
5,9,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1990,14.4,0,58.7,8.76,24.62,2,10
6,10,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1990,99.81,0,0,12.45,30.33,2,10
11,3,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1990,31.4,0,36.48,4.06,18.33,2,10
12,4,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1990,19,0,49.58,-0.57,11.54,2,10
1,5,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1990,19.29,0,209.83,2.05,13.27,2,10
2,6,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1990,30.14,0,110.75,1.17,13.33,2,10
3,7,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1990,51.22,0,76.26,5.81,19.31,2,10
4,8,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1990,70.63,0,21.12,9.25,23.66,2,10
5,9,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1990,10.86,0,153.46,10.67,23.98,2,10
6,10,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1990,86.79,0,1.9,12.43,29.42,2,10
11,3,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1990,32.06,0,34.65,3.76,17.85,2,12
12,4,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1990,19.28,0,41.67,-1.37,11.04,2,12
1,5,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1990,19.02,0,196.21,1.38,13.04,2,12
2,6,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1990,26.35,0,128.95,0.41,12.32,2,12
3,7,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1990,42.26,0,67.01,5.04,17.87,2,12
4,8,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1990,60.83,0,44.57,8.58,22.11,2,12
5,9,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1990,0,0,122.57,9.67,22.83,2,12
6,10,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1990,55.28,0,0,12.05,28.43,2,12
7,11,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1990,69.58,0,0,16.39,33.18,2,12
8,12,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1990,78.88,0,0,15.64,32.05,2,12
11,3,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1990,38.6,0,32.48,3.21,18.5,2,10
12,4,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1990,23.81,0,31.53,-1.09,10.84,2,10
1,5,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1990,23.46,0,110.43,1.51,13.13,2,10
2,6,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1990,30.72,0,86.09,0.7,13.04,2,10
3,7,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1990,48.73,0,61.61,4.7,18.47,2,10
4,8,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1990,70.89,0,52.3,8.35,22.8,2,10
5,9,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1990,9.62,0,84.63,8.98,24.22,2,10
6,10,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1990,87.6,0,0.14,11.3,29.21,2,10
11,3,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1990,31.65,0,39.61,3.81,17.95,2,10
12,4,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1990,17.3,0,51.62,-0.82,11.18,2,10
1,5,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1990,18.68,0,224.45,1.79,12.87,2,10
2,6,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1990,19.59,0,125.79,0.76,12.88,2,10
3,7,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1990,31.97,0,81,5.33,18.79,2,10
4,8,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1990,52.14,0,24.36,8.89,23.18,2,10
5,9,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1990,0,0,163.12,10.18,23.43,2,10
6,10,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1990,80.01,0,2.83,12.06,28.84,2,10
11,3,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1991,44.18,0,22.69,5.55,18.8,2,10
12,4,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1991,30.07,0,53.64,2.29,13.98,2,10
1,5,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1991,31.5,0,19.7,1.19,13.61,2,10
2,6,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1991,47.37,0,46.51,4.26,19.01,2,10
3,7,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1991,46.78,0,318.76,3.26,12.54,2,10
4,8,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1991,69.66,0,7.32,5.25,18.74,2,10
5,9,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1991,70.46,0,3.9,7.44,23.01,2,10
6,10,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1991,94.76,0,4.49,11.08,29.17,2,10
11,3,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1991,32.69,0,36.62,6.29,19.01,2,10
12,4,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1991,20.6,0,111.61,2.52,13.77,2,10
1,5,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1991,20.2,0,31.46,1.97,14.63,2,10
2,6,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1991,34.6,0,85.97,5.71,19.55,2,10
3,7,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1991,32.72,0,447.95,3.45,13.08,2,10
4,8,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1991,65.38,0,26.19,6.28,19.25,2,10
5,9,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1991,66.85,0,38.13,8.5,22.86,2,10
6,10,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1991,28.33,0,25.46,11.91,28.53,2,10
11,3,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1991,31.36,0,43.15,5.39,18.34,2,12
12,4,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1991,20.69,0,92.17,1.95,13.93,2,12
1,5,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1991,20.56,0,21.74,1.4,14.3,2,12
2,6,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1991,32.25,0,89.27,5.58,18.95,2,12
3,7,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1991,21.05,0,441.9,2.6,11.61,2,12
4,8,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1991,55.78,0,43.23,5.01,17.82,2,12
5,9,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1991,29.12,0,59.02,7.42,21.45,2,12
6,10,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1991,0,0,41.37,10.96,26.87,2,12
7,11,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1991,71.13,0,0,16.94,33.23,2,12
8,12,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1991,43.89,0,8.26,14.63,30.96,2,12
11,3,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1991,35.9,0,25.93,5.8,18.61,2,10
12,4,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1991,24.15,0,60.88,1.91,13.34,2,10
1,5,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1991,26.49,0,13.15,1.2,13.94,2,10
2,6,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1991,40.78,0,55.34,4.3,18.92,2,10
3,7,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1991,43.01,0,312.69,3.61,12.66,2,10
4,8,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1991,65.36,0,26.4,5.3,18.37,2,10
5,9,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1991,68.11,0,29.87,7.41,21.84,2,10
6,10,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1991,29.63,0,31.06,10.48,27.91,2,10
11,3,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1991,32.74,0,43.22,5.85,18.6,2,10
12,4,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1991,18.76,0,122.81,2.24,13.51,2,10
1,5,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1991,20.85,0,35.44,1.68,14.32,2,10
2,6,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1991,22.6,0,89.5,5.38,19.17,2,10
3,7,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1991,0,0,492.37,2.85,12.45,2,10
4,8,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1991,23.75,0,32.65,5.72,18.72,2,10
5,9,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1991,73.17,0,42.03,7.95,22.3,2,10
6,10,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1991,40.86,0,26.36,11.51,28.03,2,10
11,3,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1992,44.08,0,10.09,4.69,17.82,2,10
12,4,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1992,27.75,0,161.94,0.73,11.58,2,10
1,5,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1992,28.29,0,42.66,1.22,10.64,2,10
2,6,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1992,40.12,0,174.93,5.26,16.04,2,10
3,7,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1992,52.03,0,76.32,6.21,17.39,2,10
4,8,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1992,75.9,0,2.19,8.31,23.61,2,10
5,9,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1992,78.59,0,0.08,12.73,29.43,2,10
6,10,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1992,99.09,0,1.77,13.56,30.23,2,10
11,3,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1992,32.37,0,18.11,6.08,18.35,2,10
12,4,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1992,19.28,0,243.05,2.36,11.2,2,10
1,5,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1992,19.43,0,80.88,1.72,12.06,2,10
2,6,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1992,30.73,0,276.17,6.49,16.48,2,10
3,7,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1992,44.31,0,127.94,7.07,17.94,2,10
4,8,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1992,68.66,0,60.42,9.01,23.08,2,10
5,9,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1992,74.16,0,0.8,13.1,29.87,2,10
6,10,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1992,29.38,0,40.09,14.18,30.12,2,10
11,3,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1992,31.11,0,18.34,4.41,17.51,2,12
12,4,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1992,18.76,4.13,300.79,0.86,11.01,2,12
1,5,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1992,19.55,0,79.69,0.98,13.4,2,12
2,6,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1992,24.11,0,286.69,5.6,15.24,2,12
3,7,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1992,41,0,111.01,6.01,17.04,2,12
4,8,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1992,60.52,0,47.99,8.02,22.22,2,12
5,9,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1992,55.19,0,0.03,12.61,28.28,2,12
6,10,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1992,0,0,26.16,13.3,28.68,2,12
7,11,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1992,20.58,0,2.03,14.86,30.79,2,12
8,12,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1992,172.8,0,0,16.8,34.45,2,12
11,3,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1992,37.59,0,9.92,4.68,18.22,2,10
12,4,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1992,23.78,0,229.92,1.35,11.28,2,10
1,5,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1992,22.8,0,49.32,0.41,11.48,2,10
2,6,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1992,30.82,0,193.92,5.75,16.04,2,10
3,7,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1992,43.82,0,97.28,6.45,17.36,2,10
4,8,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1992,70.11,0,20.11,7.71,22.42,2,10
5,9,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1992,77.15,0,0,11.36,29.04,2,10
6,10,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1992,54.42,0,19.59,12.4,28.85,2,10
11,3,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1992,32.39,0,20.44,5.68,17.87,2,10
12,4,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1992,16.88,0,276.79,1.97,10.82,2,10
1,5,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1992,20.09,0,87.79,1.48,11.95,2,10
2,6,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1992,12.89,0,308,6.01,15.9,2,10
3,7,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1992,21.34,0,138.02,6.48,17.45,2,10
4,8,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1992,51.66,0,67.91,8.56,22.59,2,10
5,9,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1992,95.38,0,1.85,12.73,29.45,2,10
6,10,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1992,0,0,44.43,13.7,29.62,2,10
11,3,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1993,46.07,0,30.03,4.36,18.87,2,10
12,4,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1993,30.27,0,59.2,1.68,12.83,2,10
1,5,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1993,25.59,0,288.94,1.82,12.14,2,10
2,6,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1993,37.05,0,140.44,3.29,13.79,2,10
3,7,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1993,46.01,0,89.92,7.11,18.29,2,10
4,8,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1993,71.16,0,12.81,6.01,19.83,2,10
5,9,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1993,73.66,0,12.9,9.38,25.73,2,10
6,10,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1993,35.66,0,33.56,11.17,29.19,2,10
11,3,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1993,32.19,0,77.52,4.44,18.4,2,10
12,4,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1993,20.24,0,143.41,2.33,12.85,2,10
1,5,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1993,17.22,0,411.29,2.77,11.67,2,10
2,6,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1993,28.27,0,261.15,4.37,13.39,2,10
3,7,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1993,44.31,0,123.82,8.37,18.79,2,10
4,8,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1993,48.39,0,79.25,7.3,19.55,2,10
5,9,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1993,10.86,0,60.89,10.76,24.5,2,10
6,10,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1993,28.95,0,41.42,13.99,28.65,2,10
11,3,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1993,31.77,0,93.76,3.49,17.72,2,12
12,4,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1993,20.2,0,134.29,1.55,12.97,2,12
1,5,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1993,15.65,5.34,363.86,1.72,11.21,2,12
2,6,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1993,21.25,0,241.22,3.14,12.58,2,12
3,7,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1993,29.23,0,142.82,7.05,17.77,2,12
4,8,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1993,56.98,0,56.99,6.06,18.59,2,12
5,9,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1993,31.19,0,58.54,9.29,23.13,2,12
6,10,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1993,0,0,58.83,12.7,27.23,2,12
7,11,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1993,68.3,0,0.02,14.97,31.06,2,12
8,12,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1993,80.27,0,1.81,14.62,31.71,2,12
11,3,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1993,38.17,0,59.7,4.83,17.94,2,10
12,4,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1993,24.37,0,82.78,2.14,12.24,2,10
1,5,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1993,19.74,0,267.55,2.27,12.09,2,10
2,6,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1993,26.36,0,187.9,3.64,13.45,2,10
3,7,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1993,31.27,0,121.51,6.99,18.04,2,10
4,8,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1993,62.05,0,43.77,5.98,19.17,2,10
5,9,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1993,16.19,0,52.83,8.77,24.26,2,10
6,10,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1993,40.58,0,26.59,12.22,28.22,2,10
11,3,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1993,32.43,0,79.47,4.2,17.97,2,10
12,4,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1993,18.75,0,162.25,2.04,12.54,2,10
1,5,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1993,13.29,0,450.48,2.27,11.16,2,10
2,6,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1993,0,0,279.47,3.81,12.81,2,10
3,7,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1993,0,0,138.3,7.76,18.23,2,10
4,8,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1993,0,0,89.11,6.83,18.99,2,10
5,9,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1993,0,0,67.26,10.3,23.99,2,10
6,10,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1993,0,0,46.2,13.47,28.07,2,10
11,3,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1994,40.59,0,84.15,1.98,13.27,2,10
12,4,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1994,29.01,0,59.33,1.52,11.75,2,10
1,5,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1994,31.3,0,44.36,2.29,14.94,2,10
2,6,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1994,41.44,0,98.73,2.37,13.45,2,10
3,7,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1994,61.37,0,14.04,5.36,19.31,2,10
4,8,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1994,58.58,0,62.97,6.61,21.54,2,10
5,9,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1994,19.1,0,41.28,9.6,24.48,2,10
6,10,BH,Low,511.4294422,0.23399999999999999,37.40985,-119.96458,1994,114.79,0,0.55,12.16,32.12,2,10
11,3,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1994,27.81,0,173.68,2.62,13.29,2,10
12,4,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1994,18.07,0,221.54,1.84,10.45,2,10
1,5,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1994,20.61,0,83.21,3.29,14.89,2,10
2,6,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1994,30.94,0,179.83,2.96,13.72,2,10
3,7,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1994,51.85,0,23.54,6.22,20.02,2,10
4,8,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1994,68.42,0,63.7,7.77,21.96,2,10
5,9,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1994,65.97,0,45.26,10.66,24.72,2,10
6,10,CC,Low,313,0.9509999999999996,39.58597,-121.43311,1994,88.08,0,1.13,13.01,30.67,2,10
11,3,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1994,26.46,0,230.4,1.6,12.1,2,12
12,4,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1994,17.02,0,221.09,1.2,10.61,2,12
1,5,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1994,19.98,0,71.27,2.34,14.3,2,12
2,6,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1994,27.29,0,165.16,1.98,13.01,2,12
3,7,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1994,42.66,0,28.27,4.65,19.05,2,12
4,8,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1994,58.34,0,68.42,6.46,20.31,2,12
5,9,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1994,50.97,0,36.19,9.35,22.79,2,12
6,10,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1994,55.71,0,2.61,11.66,29.48,2,12
7,11,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1994,70.61,0,0,16.1,34.2,2,12
8,12,IH,Low,454.1298385,17.659666666666666,39.09332,-120.92114,1994,83.28,0,0,14.85,33.98,2,12
11,3,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1994,32.14,0,145.94,2.43,13,2,10
12,4,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1994,21.44,0,123.75,2.27,10.87,2,10
1,5,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1994,24.69,0,62.08,2.69,14.21,2,10
2,6,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1994,32.4,0,131.94,2.66,13.52,2,10
3,7,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1994,49.18,0,9.64,5.24,18.81,2,10
4,8,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1994,65.13,0,72.32,6.4,20.57,2,10
5,9,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1994,49.44,0,40.21,9.18,23.44,2,10
6,10,SC,Low,421.5178299,0.5973333333333334,38.41167,-120.73583000000001,1994,89.33,0,0.21,11.3,30.36,2,10
11,3,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1994,27.87,0,185.35,2.27,12.7,2,10
12,4,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1994,15.92,0,238.34,1.61,10.16,2,10
1,5,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1994,21.32,0,91.36,3.02,14.61,2,10
2,6,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1994,19.78,0,204.25,2.5,13.12,2,10
3,7,TM2,Low,379.1526973,5.4673333333333325,39.59255,-121.55072,1994,32.42,0,25.49,5.9,19.5,2,10
